16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:31 [ultranest] [DEBUG] iteration=1280, ncalls=3462, logz=-460.65, remainder_fraction=100.0000%, Lmin=-451.56, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1304, ncalls=3492, logz=-440.08, remainder_fraction=100.0000%, Lmin=-429.55, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1320, ncalls=3514, logz=-420.80, remainder_fraction=100.0000%, Lmin=-410.99, Lmax=-139.93
16:01:32 [ultranest] [DEBUG] iteration=1334, ncalls=3532, logz=-414.36, remainder_fraction=100.0000%, Lmin=-406.20, Lmax=-139.93
16:01:32 [ultranest] [DEBUG] iteration=1348, ncalls=3551, logz=-394.94, remainder_fraction=100.0000%, Lmin=-386.06, Lmax=-139.93
16:01:32 [ultranest] [DEBUG] iteration=1350, ncalls=3553, logz=-394.09, remainder_fraction=100.0000%, Lmin=-385.09, Lmax=-139.93
16:01:32 [ultranest] [DEBUG] iteration=1360, ncalls=3566, logz=-386.02, remainder_fraction=100.0000%, Lmin=-375.89, Lmax=-139.93
16:01:32 [ultranest] [DEBUG] iteration=1374, ncalls=3587, logz=-372.55, remainder_fraction=100.0000%, Lmin=-362.99, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1391, ncalls=3610, logz=-356.29, remainder_fraction=100.0000%, Lmin=-346.78, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1400, ncalls=3619, logz=-349.56, remainder_fraction=100.0000%, Lmin=-340.07, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1417, ncalls=3643, logz=-332.43, remainder_fraction=100.0000%, Lmin=-321.27, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1433, ncalls=3672, logz=-319.67, remainder_fraction=100.0000%, Lmin=-310.92, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1440, ncalls=3682, logz=-315.61, remainder_fraction=100.0000%, Lmin=-307.06, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1455, ncalls=3698, logz=-307.02, remainder_fraction=100.0000%, Lmin=-297.37, Lmax=-139.62
16:01:32 [ultranest] [DEBUG] iteration=1470, ncalls=3715, logz=-296.61, remainder_fraction=100.0000%, Lmin=-286.89, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1480, ncalls=3732, logz=-290.42, remainder_fraction=100.0000%, Lmin=-281.63, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1502, ncalls=3759, logz=-279.73, remainder_fraction=100.0000%, Lmin=-268.36, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1520, ncalls=3784, logz=-266.79, remainder_fraction=100.0000%, Lmin=-257.01, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1534, ncalls=3800, logz=-259.92, remainder_fraction=100.0000%, Lmin=-250.93, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1551, ncalls=3825, logz=-252.36, remainder_fraction=100.0000%, Lmin=-243.24, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1560, ncalls=3837, logz=-249.17, remainder_fraction=100.0000%, Lmin=-240.19, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1582, ncalls=3866, logz=-240.70, remainder_fraction=100.0000%, Lmin=-229.55, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1598, ncalls=3893, logz=-232.33, remainder_fraction=100.0000%, Lmin=-223.60, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1600, ncalls=3897, logz=-231.83, remainder_fraction=100.0000%, Lmin=-223.27, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1619, ncalls=3924, logz=-227.00, remainder_fraction=100.0000%, Lmin=-217.96, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1620, ncalls=3925, logz=-226.69, remainder_fraction=100.0000%, Lmin=-217.44, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1636, ncalls=3946, logz=-221.47, remainder_fraction=100.0000%, Lmin=-212.29, Lmax=-139.62
16:01:33 [ultranest] [DEBUG] iteration=1640, ncalls=3951, logz=-220.17, remainder_fraction=100.0000%, Lmin=-210.97, Lmax=-139.62
16:01:34 [ultranest] [DEBUG] iteration=1657, ncalls=3973, logz=-216.86, remainder_fraction=100.0000%, Lmin=-208.19, Lmax=-139.62
16:01:34 [ultranest] [DEBUG] iteration=1672, ncalls=3997, logz=-213.47, remainder_fraction=100.0000%, Lmin=-204.77, Lmax=-132.25
16:01:34 [ultranest] [DEBUG] iteration=1680, ncalls=4010, logz=-212.24, remainder_fraction=100.0000%, Lmin=-204.16, Lmax=-132.25
16:01:34 [ultranest] [DEBUG] iteration=1694, ncalls=4031, logz=-209.95, remainder_fraction=100.0000%, Lmin=-201.47, Lmax=-132.25
16:01:34 [ultranest] [DEBUG] iteration=1710, ncalls=4053, logz=-204.29, remainder_fraction=100.0000%, Lmin=-195.14, Lmax=-132.25
